date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:56	214017/214017	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/gallery/g39.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/gallery/g39.jpg	(from https://www.yinigeria.com.ng/gallery.html)
14:00:56	211809/211809	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/gallery/g40.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/gallery/g40.jpg	(from https://www.yinigeria.com.ng/gallery.html)
14:00:56	7578/7578	---M--	200	added ('OK')	text/html	date:Fri,%2004%20Oct%202019%2008:33:36%20GMT	https://www.yinigeria.com.ng/news-single.html	/home/diane/websites/yinvator/www.yinigeria.com.ng/news-single.html	(from https://www.yinigeria.com.ng/news.html)
14:00:58	176421/176421	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/blog_1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/blog_1.jpg	(from https://www.yinigeria.com.ng/news.html)
14:00:58	254225/254225	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/blog_large_1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/blog_large_1.jpg	(from https://www.yinigeria.com.ng/news.html)
14:00:58	143924/143924	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/blog_3.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/blog_3.jpg	(from https://www.yinigeria.com.ng/news.html)
14:00:58	109376/109376	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/blog_2.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/blog_2.jpg	(from https://www.yinigeria.com.ng/news.html)
14:00:59	125707/125707	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/blog_4.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/blog_4.jpg	(from https://www.yinigeria.com.ng/news.html)
14:01:00	327480/327480	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/images/course_5.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/course_5.jpg	(from https://www.yinigeria.com.ng/news.html)
14:01:00	307332/307332	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon.eot?10si43	/home/diane/websites/yinvator/www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon1a44.eot	(from https://www.yinigeria.com.ng/fonts/icomoon/style.css)
14:01:00	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:00:59%20GMT	https://www.yinigeria.com.ng/images/favicon.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/favicon.png	(from https://www.yinigeria.com.ng/)
14:01:00	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:00:59%20GMT	https://www.yinigeria.com.ng/images/logo.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/logo.jpg	(from https://www.yinigeria.com.ng/)
14:01:01	307168/307168	---M--	200	added ('OK')	font/ttf	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon.ttf?10si43	/home/diane/websites/yinvator/www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://www.yinigeria.com.ng/fonts/icomoon/style.css)
14:01:01	307244/307244	---M--	200	added ('OK')	font/woff	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon.woff?10si43	/home/diane/websites/yinvator/www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon1a44.woff	(from https://www.yinigeria.com.ng/fonts/icomoon/style.css)
14:01:06	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:00%20GMT	https://www.yinigeria.com.ng/images/slider1.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider1.jpg	(from https://www.yinigeria.com.ng/)
14:01:07	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:01%20GMT	https://www.yinigeria.com.ng/images/slider2.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider2.jpg	(from https://www.yinigeria.com.ng/)
14:01:07	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:02%20GMT	https://www.yinigeria.com.ng/images/slider3.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider3.jpg	(from https://www.yinigeria.com.ng/)
14:01:09	935341/935341	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2002%20Aug%202019%2015:26:54%20GMT	https://www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon.svg?10si43	/home/diane/websites/yinvator/www.yinigeria.com.ng/fonts/icomoon/fonts/icomoon1a44.svg	(from https://www.yinigeria.com.ng/fonts/icomoon/style.css)
14:01:09	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:07%20GMT	https://www.yinigeria.com.ng/images/slider4.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider4.jpg	(from https://www.yinigeria.com.ng/)
14:01:09	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:08%20GMT	https://www.yinigeria.com.ng/images/slider5.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider5.jpg	(from https://www.yinigeria.com.ng/)
14:01:09	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:09%20GMT	https://www.yinigeria.com.ng/images/slider6.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider6.jpg	(from https://www.yinigeria.com.ng/)
14:01:09	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:09%20GMT	https://www.yinigeria.com.ng/images/slider7.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider7.jpg	(from https://www.yinigeria.com.ng/)
14:01:10	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:09%20GMT	https://www.yinigeria.com.ng/images/slider8.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider8.jpg	(from https://www.yinigeria.com.ng/)
14:01:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Aug%202020%2013:01:09%20GMT	https://www.yinigeria.com.ng/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	/home/diane/websites/yinvator/www.yinigeria.com.ng/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.8f.delayed	(from https://www.yinigeria.com.ng/css/jquery-ui.css)
14:01:10	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2002%20Aug%202020%2013:01:10%20GMT	https://www.yinigeria.com.ng/images/slider9.jpg	/home/diane/websites/yinvator/www.yinigeria.com.ng/images/slider9.jpg	(from https://www.yinigeria.com.ng/)
